trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
1_TRIP1,06:00:00,06:00:00,1,1,0,0,1
1_TRIP1,07:00:00,07:00:00,2,2,0,0,1
1_TRIP1,08:00:00,08:00:00,3,3,0,0,1
1_TRIP1,09:00:00,09:00:00,4,4,0,0,1
1_TRIP1,10:00:00,10:00:00,5,5,0,0,1
1_TRIP1,11:00:00,11:00:00,6,6,0,0,1
1_TRIP1,12:00:00,12:00:00,7,7,0,0,1
1_TRIP1,13:00:00,13:00:00,8,8,0,0,1
1_TRIP1,14:00:00,14:00:00,9,9,0,0,1
1_TRIP1,15:00:00,15:00:00,10,10,0,0,1
1_TRIP1,16:00:00,16:00:00,11,11,0,0,1
1_TRIP1,17:00:00,17:00:00,13,12,0,0,1
1_TRIP1,18:00:00,18:00:00,14,13,0,0,1
1_TRIP1,19:00:00,19:00:00,15,14,0,0,1
1_TRIP1,20:00:00,20:00:00,16,15,0,0,1
1_TRIP1,21:00:00,21:00:00,17,16,0,0,1
1_TRIP1,22:00:00,22:00:00,18,17,0,0,1
1_TRIP1,23:00:00,23:00:00,19,18,0,0,1
1_TRIP1,24:00:00,24:00:00,30,19,0,0,1
1_TRIP1,25:00:00,25:00:00,31,20,0,0,1
1_TRIP1,26:00:00,26:00:00,54,21,0,0,1
1_TRIP1,27:00:00,27:00:00,55,22,0,0,1
1_TRIP1,28:00:00,28:00:00,56,23,0,0,1
1_TRIP1,29:00:00,29:00:00,57,24,0,0,1
1_TRIP1,30:00:00,30:00:00,58,25,0,0,1
1_TRIP1,31:00:00,31:00:00,59,26,0,0,1
1_TRIP1,32:00:00,32:00:00,61,27,0,0,1
1_TRIP1,33:00:00,33:00:00,62,28,0,0,1
1_TRIP1,34:00:00,34:00:00,63,29,0,0,1
1_TRIP1,35:00:00,35:00:00,64,30,0,0,1
1_TRIP1,36:00:00,36:00:00,79,31,0,0,1
1_TRIP1,37:00:00,37:00:00,80,32,0,0,1
1_TRIP1,38:00:00,38:00:00,94,33,0,0,1
1_TRIP1,39:00:00,39:00:00,95,34,0,0,1
1_TRIP1,40:00:00,40:00:00,96,35,0,0,1
1_TRIP1,41:00:00,41:00:00,97,36,0,0,1
1_TRIP1,42:00:00,42:00:00,98,37,0,0,1
1_TRIP1,43:00:00,43:00:00,106,38,0,0,1
1_TRIP1,44:00:00,44:00:00,107,39,0,0,1
1_TRIP1,45:00:00,45:00:00,108,40,0,0,1
