stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding
1,San Sebastián - Líneas 1 y 2,"3ª calle y 6ª avenida, zona 1. ",14.6458223,-90.5130895,0,,America/Guatemala,1
2,Gómez Carrillo,"5ª avenida y 14 calle, zona 1.",14.6345353535,-90.5157880548,0,,America/Guatemala,1
3,San Agustín,"5ª avenida y 11 calle, zona 1.",14.6384672,-90.5152966,0,,America/Guatemala,1
4,Parque Centenario,"5ª avenida y 8ª calle, zona 1.",14.6420646,-90.5148043,0,,America/Guatemala,1
5,Mercado Central,"8ª avenida y 6ª calle, zona 1.",14.6423372473,-90.5115007816,0,,America/Guatemala,1
6,Correos,"8ª avenida y 12 calle, zona 1.",14.6371623831,-90.5122481224,0,,America/Guatemala,1
7,Beatas de Belén,"8ª avenida y 15 calle, zona 1.",14.6339182,-90.5126794,0,,America/Guatemala,1
8,Paseo de las Letras,"8ª avenida y 19 calle, zona 1.",14.6299042,-90.5133353,0,,America/Guatemala,1
9,Centro Cívico,"21 calle y 6ª avenida “A”, zona 1.",14.6277269,-90.5148188,0,,America/Guatemala,1
10,Sur 2,"5ª avenida y 18 calle, zona 1.",14.6313137,-90.5162884,0,,America/Guatemala,1
11,Simeón Cañas,"Avenida Simeón Cañas y 7ª calle, zona 2.",14.6539497,-90.5118799,0,,America/Guatemala,1
12,Hipódromo del Norte,"Avenida Simeón Cañas y 11 calle, zona 2.",14.6595417,-90.5097801,0,,America/Guatemala,1
13,San José de la Montaña,"Avenida Simeón Cañas y 6ª calle, zona 2.",14.6538416,-90.5119433,0,,America/Guatemala,1
14,Jocotenango,"6ª avenida entre 3ª y 4ª calle, zona 2.",14.6510099,-90.5131177,0,,America/Guatemala,1
15,San Sebastián - Líneas 1 y 2,"3ª calle y 6ª avenida, zona 1.",14.6458223,-90.5130896,0,,America/Guatemala,1
16,Plaza Barrios/FEGUA - Líneas 6 y 18,"18 calle y 10ª avenida, zona 1.",14.6305278,-90.5116332,0,,America/Guatemala,1
17,Francos Monroy  - Líneas 6 y 18,"11 avenida y 15 calle, zona 1.",14.6326442,-90.5093697,0,,America/Guatemala,1
18,Colón - Líneas 6 y 18,"11 avenida y 8ª calle, zona 1.",14.6399859,-90.5083715,0,,America/Guatemala,1
19,Cerro del Carmen - Líneas 6 y 18,1a calle y 13 avenida entre zona 1 y 2. Línea 6 en dirección a FEGUA-Plaza Barrios y Proyectos.,14.6481246,-90.504911,0,,America/Guatemala,1
20,Parroquia ,"15 avenida y 3ª calle, zona 6.",14.6499868,-90.4997926,0,,America/Guatemala,1
21,IGSS Zona 6,"16 avenida y 6ª calle, zona 6.",14.6515687,-90.4974681,0,,America/Guatemala,1
22,Centro Zona 6,"16 avenida y 10ª calle, zona 6.",14.6549439,-90.4960752,0,,America/Guatemala,1
23,Academia,"16 avenida y 15 calle, zona 6.",14.6590336,-90.4940548,0,,America/Guatemala,1
24,Cipresales,"Avenida La Pedrera y 18 calle, zona 6. En dirección a Proyectos y Plaza Barrios/FEGUA.",14.6653195407,-90.4937942196,0,,America/Guatemala,1
